,Player,Team,POS,RUSH_ATT,RUSH_YD,RUSH_TD,REC,REC_YD,REC_TD,FL,PASS_ATT,CMP,PASS_YDS,PASS_TDS,INTS
141,Trent Sherfield,MIA,WR,0.0,0.0,0.0,12.7,149.9,0.9,0.1,0.0,0.0,0,0.0,0.0
142,Cam Sims,WAS,WR,0.0,0.0,0.0,11.5,152.0,0.9,0.0,0.0,0.0,0,0.0,0.0
143,Dez Fitzpatrick,TEN,WR,0.0,0.0,0.0,12.0,146.7,0.9,0.0,0.0,0.0,0,0.0,0.0
144,Ashton Dulin,IND,WR,1.5,10.0,0.1,10.2,128.5,0.9,0.1,0.0,0.0,0,0.0,0.0
145,Laquon Treadwell,JAC,WR,0.0,0.0,0.0,11.9,140.8,0.9,0.1,0.0,0.0,0,0.0,0.0
146,Tyler Johnson,TB,WR,0.0,0.0,0.0,10.9,133.4,1.0,0.0,0.0,0.0,0,0.0,0.0
147,Cody Hollister,TEN,WR,0.0,0.0,0.0,11.3,135.0,0.9,0.0,0.0,0.0,0,0.0,0.0
148,Danny Gray,SF,WR,0.0,0.0,0.0,11.7,135.2,0.9,0.1,0.0,0.0,0,0.0,0.0
149,Cyril Grayson Jr.,TB,WR,0.0,0.0,0.0,10.2,128.8,0.9,0.1,0.0,0.0,0,0.0,0.0
150,Erik Ezukanma,MIA,WR,0.0,0.0,0.0,10.9,122.2,1.0,0.1,0.0,0.0,0,0.0,0.0
151,Jakeem Grant Sr.,CLE,WR,1.1,6.6,0.0,11.1,124.2,0.7,0.0,0.0,0.0,0,0.0,0.0
152,Ty Montgomery,NE,WR,9.7,56.9,0.5,7.4,62.9,0.5,0.0,0.0,0.0,0,0.0,0.0
153,N'Keal Harry,CHI,WR,0.0,0.0,0.0,10.3,124.8,0.8,0.1,0.0,0.0,0,0.0,0.0
154,Brandon Zylstra,CAR,WR,0.0,0.0,0.0,10.6,130.7,0.6,0.1,0.0,0.0,0,0.0,0.0
155,Javon Wims,CLE,WR,0.0,0.0,0.0,10.7,121.5,0.7,0.0,0.0,0.0,0,0.0,0.0
