"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"JaMycal Hasty","SF","11.0","46.6","0.6","5.9","41.0","0.1","0.0","12.8"
"Andy Janovich","HOU","8.7","34.6","0.2","8.2","63.6","0.3","0.0","12.6"
"Qadree Ollison","ATL","12.6","51.2","0.4","5.7","39.2","0.2","0.1","12.4"
"Kene Nwangwu","MIN","13.8","58.1","0.4","4.3","30.5","0.2","0.1","12.4"
"Jake Funk","LAR","14.4","60.3","0.5","3.3","23.7","0.2","0.1","12.2"
"Larry Rountree III","LAC","15.5","70.7","0.4","2.6","19.9","0.1","0.0","12.2"
"Keith Smith","ATL","8.1","32.7","0.2","7.9","54.2","0.3","0.1","11.6"
"Dwayne Washington","NO","14.7","63.6","0.4","2.9","21.1","0.1","0.1","11.5"
"Anthony McFarland Jr.","PIT","12.8","53.1","0.4","3.2","23.6","0.1","0.1","10.3"
"Ty Johnson","NYJ","8.0","33.4","0.2","5.7","45.0","0.2","0.1","10.2"
"Trenton Cannon","TEN","7.5","30.1","0.2","5.7","43.7","0.2","0.0","9.8"
"C.J. Ham","MIN","5.4","21.9","0.1","6.5","48.8","0.3","0.1","9.6"
"Godwin Igwebuike","DET","8.2","35.0","0.3","4.0","29.4","0.2","0.1","8.9"
"Derrick Gore","KC","4.4","17.9","0.2","4.7","36.2","0.3","0.0","8.2"
"Patrick Taylor Jr.","GB","8.0","33.8","0.3","3.2","23.0","0.1","0.1","8.0"
"Darrynton Evans","CHI","8.2","34.8","0.3","2.7","20.9","0.1","0.1","8.0"
"Jakob Johnson","LV","4.0","16.5","0.2","4.4","32.7","0.3","0.1","7.2"
"Andrew Beck","DEN","4.7","18.9","0.2","4.4","31.9","0.2","0.0","7.1"
"Trey Edmunds","PIT","4.4","17.6","0.2","4.5","32.6","0.2","0.0","7.1"
"Jordan Wilkins","TEN","5.2","21.9","0.2","3.9","28.1","0.2","0.0","7.0"
"Alec Ingold","MIA","4.3","17.4","0.2","4.4","31.3","0.2","0.1","7.0"
"Mekhi Sargent","JAC","4.5","17.8","0.2","4.2","32.0","0.2","0.0","7.0"
"Giovanni Ricci","CAR","4.5","18.1","0.1","4.1","31.3","0.2","0.0","6.8"
"Kylin Hill","GB","6.6","26.8","0.2","3.2","23.1","0.1","0.0","6.8"
"Alex Armah Jr.","WAS","4.8","18.9","0.2","3.9","27.9","0.2","0.0","6.7"
"Antonio Williams","NYG","7.4","32.2","0.3","2.1","15.0","0.1","0.1","6.7"
"Michael Burton","KC","5.8","23.6","0.3","2.3","17.1","0.2","0.0","6.4"
"La'Mical Perine","NYJ","4.3","17.2","0.2","3.9","27.4","0.2","0.0","6.4"
"Deon Jackson","IND","8.7","37.4","0.3","1.0","6.9","0.0","0.1","6.4"
