"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Ke'Shawn Vaughn","TB","RB75","52.4","220.4","2.2","5.3","35.4","0.1","0.7","38.4"
"Kyle Juszczyk","SF","RB76","12.9","46.9","0.8","22.7","207.7","1.3","0.1","37.6"
"Noah Brown","DAL","WR113","0.0","0.3","0.0","24.2","272.3","1.7","0.1","37.4"
"Chris Carson","SEA","RB77","45.3","201.1","1.6","9.0","63.2","0.2","0.0","37.4"
"Tylan Wallace","BAL","WR114","0.0","0.0","0.0","21.5","261.6","1.9","0.2","37.2"
"Jeff Wilson Jr.","SF","RB78","42.4","177.1","1.6","10.5","77.1","0.4","0.2","37.1"
"Tommy Tremble","CAR","TE40","0.0","0.0","0.0","25.3","256.2","1.9","0.1","36.8"
"Donald Parham Jr.","LAC","TE41","0.0","0.0","0.0","21.2","225.9","2.4","0.1","36.7"
"Geoff Swaim","TEN","TE42","0.0","0.0","0.0","26.0","220.7","2.4","0.1","36.6"
"Brandon Bolden","LV","RB79","32.3","143.3","0.8","17.8","162.7","0.5","1.0","36.0"
"Anthony Schwartz","CLE","WR115","1.5","9.1","0.1","19.4","256.7","1.5","0.2","35.6"
"Quintez Cephus","DET","WR116","0.0","0.0","0.0","17.1","230.0","2.1","0.0","35.5"
"Hassan Haskins","TEN","RB80","46.2","202.8","1.2","7.9","60.9","0.3","0.1","34.9"
"O.J. Howard","BUF","TE43","0.0","0.0","0.0","22.0","244.7","1.8","0.1","34.8"
"Jelani Woods","IND","TE44","0.0","0.0","0.0","21.6","228.7","2.0","0.5","34.0"
"Craig Reynolds","DET","RB81","40.7","180.4","0.7","12.5","94.6","0.5","0.6","33.9"
"Giovani Bernard","TB","RB82","22.4","86.7","0.5","21.5","145.2","1.2","0.1","32.9"
"Romeo Doubs","GB","WR117","0.0","0.0","0.0","17.6","213.3","1.9","0.1","32.5"
"Breshad Perriman","TB","WR118","0.2","0.8","0.0","14.8","222.0","1.6","0.1","31.9"
"Anthony Firkser","ATL","TE45","0.0","0.0","0.0","25.9","242.9","1.4","0.6","31.7"
"Freddie Swain","SEA","WR119","0.7","4.0","0.0","20.9","236.6","1.3","0.1","31.6"
"Rashard Higgins","CAR","WR120","0.0","0.0","0.0","18.1","243.9","1.2","0.1","31.5"
"Calvin Austin III","PIT","WR121","0.0","0.0","0.0","21.6","242.8","1.2","0.1","31.3"
"Jaret Patterson","WAS","RB83","44.3","180.7","1.5","7.3","53.4","0.1","1.0","31.0"
"Joshua Kelley","LAC","RB84","58.3","209.4","1.3","5.9","41.6","0.1","1.6","30.8"
"Phillip Dorsett II","HOU","WR122","1.1","6.6","0.0","18.8","229.5","1.2","0.1","30.7"
"Duke Johnson Jr.","BUF","RB85","30.2","148.3","1.2","7.9","72.8","0.3","0.5","30.3"
"Phillip Lindsay","IND","RB86","41.5","187.7","1.2","3.6","25.9","0.1","0.0","29.6"
"John Bates","WAS","TE46","0.0","0.0","0.0","18.0","207.8","1.3","0.1","28.4"
"Tyquan Thornton","NE","WR123","0.0","0.0","0.0","17.3","205.1","1.3","0.1","28.3"
"Chris Evans","CIN","RB87","22.8","94.4","0.5","15.2","113.1","0.8","0.2","28.2"
"Keke Coutee","IND","WR124","0.0","0.0","0.0","17.8","204.1","1.3","0.0","28.0"
"James O'Shaughnessy","CHI","TE47","0.0","0.0","0.0","20.5","214.9","1.1","0.1","27.9"
"Benny Snell Jr.","PIT","RB88","44.1","169.2","1.0","6.0","42.4","0.2","0.2","27.6"
"James Proche II","BAL","WR125","0.0","0.0","0.0","17.5","214.6","1.1","0.2","27.6"
"Pharaoh Brown","HOU","TE48","0.0","0.0","0.0","23.9","210.5","1.3","0.6","27.4"
"Josh Reynolds","DET","WR126","0.0","0.0","0.0","14.2","188.4","1.5","0.1","27.4"
"D'Ernest Johnson","CLE","RB89","31.9","155.4","1.1","6.4","48.3","0.1","0.1","27.3"
"Trey McBride","ARI","TE49","0.0","0.0","0.0","17.5","178.3","1.5","0.5","25.7"
"Tutu Atwell","LAR","WR127","0.0","0.0","0.0","14.6","183.5","1.3","0.2","25.6"
"Will Dissly","SEA","TE50","0.0","0.0","0.0","18.5","192.0","0.9","0.1","24.6"
"Equanimeous St. Brown","CHI","WR128","0.0","0.0","0.0","12.5","182.8","1.1","0.1","24.5"
"Ian Thomas","CAR","TE51","0.0","0.0","0.0","19.0","185.7","1.0","0.1","24.5"
"Ben Skowronek","LAR","WR129","0.0","0.0","0.0","13.0","160.8","1.4","0.1","24.5"
"Antoine Wesley","ARI","WR130","0.0","0.0","0.0","13.1","163.9","1.3","0.1","24.0"
"Zach Pascal","PHI","WR131","0.0","0.0","0.0","13.4","159.2","1.4","0.1","24.0"
